SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,,Vacant Land,326 NE 15th Ter,Cape Coral,FL,33909,43000,,,,,10019,,,,,,,,https://www.redfin.com/FL/Cape-Coral/326-NE-15th-Ter-33909/home/67707323,,,N,Y,26.68098,-81.966348
PAST SALE,July-17-2023,Vacant Land,517 NW 25th Ter,Cape Coral,FL,33993,43000,,,CAPE CORAL,,11848,,,,,Sold,,,https://www.redfin.com/FL/Cape-Coral/517-NW-25th-Ter-33993/home/67876907,Stellar MLS as Distributed by MLS Grid,C7476620,N,Y,26.700488,-81.985961
PAST SALE,September-8-2023,Vacant Land,2716 NW 4th Pl,Cape Coral,FL,33993,58000,,,"CC41 - Cape Coral Unit 37-43,48,49",,15158,,,,,Sold,,,https://www.redfin.com/FL/Cape-Coral/2716-NW-4th-Pl-33993/home/62076175,NAPLESMLS,223060724,N,Y,26.703599,-81.983025
PAST SALE,,Vacant Land,2609 NW 5th Pl,Cape Coral,FL,33993,60000,,,,,10324,,,,,,,,https://www.redfin.com/FL/Cape-Coral/2609-NW-5th-Pl-33993/home/61996561,,,N,Y,26.701977,-81.9844449
PAST SALE,July-14-2023,Single Family Residential,1507 NW 10th Pl,Cape Coral,FL,33993,354990,4,2.0,CAPE CORAL,1650,14984,2023,,215,,Sold,,,https://www.redfin.com/FL/Cape-Coral/1507-NW-10th-Pl-33993/home/67723763,FORTMLS,223033401,N,Y,26.6807328,-81.9953076
PAST SALE,,Vacant Land,3010 Nelson Rd N,Cape Coral,FL,33993,20000,,,,,10019,,,,,,,,https://www.redfin.com/FL/Cape-Coral/3010-Nelson-Rd-N-33993/home/61982395,,,N,Y,26.708436,-81.990336
PAST SALE,,Other,724 NW 20th St,Cape Coral,FL,33993,380000,,,,,10629,,,,,,,,https://www.redfin.com/FL/Cape-Coral/724-NW-20th-St-33993/home/62067081,,,N,Y,26.689732,-81.989682
PAST SALE,November-2-2023,Vacant Land,2029 Nelson Rd,Cape Coral,FL,33993,50000,,,CAPE CORAL,,14984,,,,,Sold,,,https://www.redfin.com/FL/Cape-Coral/2029-Nelson-Rd-N-33993/home/67931198,FORTMLS,223064081,N,Y,26.691664,-81.989879
PAST SALE,,Vacant Land,2833 NE 2nd Ave,Cape Coral,FL,33909,38000,,,,,11108,,,,,,,,https://www.redfin.com/FL/Cape-Coral/2833-NE-2nd-Ave-33909/home/67868828,,,N,Y,26.706058,-81.969374
PAST SALE,September-12-2023,Vacant Land,1329 Nelson Rd N,Cape Coral,FL,33993,47500,,,"CC41 - Cape Coral Unit 37-43,48,49",,10018,,,,,Sold,,,https://www.redfin.com/FL/Cape-Coral/1329-Nelson-Rd-N-33993/home/67714802,NAPLESMLS,222018132,N,Y,26.678058,-81.990065
PAST SALE,October-13-2023,Vacant Land,1518 Nelson Rd N,Cape Coral,FL,33993,55000,,,"CC41 - Cape Coral Unit 37-43,48,49",,10001,,,,,Sold,,,https://www.redfin.com/FL/Cape-Coral/1518-Nelson-Rd-N-33993/home/67724289,NAPLESMLS,223045344,N,Y,26.6814958,-81.9906765
PAST SALE,,Vacant Land,1414 NW 7th Pl,Cape Coral,FL,33993,42000,,,,,14985,,,,,,,,https://www.redfin.com/FL/Cape-Coral/1414-NW-7th-Pl-33993/home/67714789,,,N,Y,26.679104,-81.989596
PAST SALE,,Vacant Land,1523 Nelson Rd N,Cape Coral,FL,33993,329000,,,,,10542,,,,,,,,https://www.redfin.com/FL/Cape-Coral/1523-Nelson-Rd-N-33993/home/67714795,,,N,Y,26.681034,-81.989992
PAST SALE,,Vacant Land,336 Ne 27th Ter,Cape Coral,FL,33909,45000,,,,,14985,,,,,,,,https://www.redfin.com/FL/Cape-Coral/336-Ne-27th-Ter-33909/home/67870279,,,N,Y,26.7022939,-81.965855
PAST SALE,,Vacant Land,2616 NE 7th Ave,Cape Coral,FL,33909,40000,,,,,10019,,,,,,,,https://www.redfin.com/FL/Cape-Coral/2616-NE-7th-Ave-33909/home/67869851,,,N,Y,26.701051,-81.959138
PAST SALE,October-31-2023,Vacant Land,24 Kismet E,Cape Coral,FL,33909,45000,,,CAPE CORAL,,10018,,,,,Sold,,,https://www.redfin.com/FL/Cape-Coral/24-Kismet-Pkwy-E-33909/home/67938971,FORTMLS,222070089,N,Y,26.696033,-81.972517
PAST SALE,,Vacant Land,109 NE 25th St,Cape Coral,FL,33909,36000,,,,,10629,,,,,,,,https://www.redfin.com/FL/Cape-Coral/109-NE-25th-St-33909/home/67870188,,,N,Y,26.698311,-81.9713
PAST SALE,,Vacant Land,51 NE 31st Ter,Cape Coral,FL,33909,36618,,,,,10019,,,,,,,,https://www.redfin.com/FL/Cape-Coral/51-NE-31st-Ter-33909/home/67869228,,,N,Y,26.710936,-81.97241
PAST SALE,November-15-2023,Vacant Land,2815 NW 6th Ave,Cape Coral,FL,33993,50000,,,CAPE CORAL,,15507,,,,,Sold,,,https://www.redfin.com/FL/Cape-Coral/2815-NW-6th-Ave-33993/home/62034358,FORTMLS,223039034,N,Y,26.704871,-81.985347
PAST SALE,,Vacant Land,2902 NW 6th Ave,Cape Coral,FL,33993,44500,,,,,10062,,,,,,,,https://www.redfin.com/FL/Cape-Coral/2902-NW-6th-Ave-33993/home/67876085,,,N,Y,26.7061509,-81.985373
PAST SALE,,Vacant Land,2846 NW 5th Ave,Cape Coral,FL,33993,40000,,,,,10062,,,,,,,,https://www.redfin.com/FL/Cape-Coral/2846-NW-5th-Ave-33993/home/67876016,,,N,Y,26.70609,-81.983278
PAST SALE,November-9-2023,Vacant Land,2616 NW 3rd Pl,Cape Coral,FL,33993,41250,,,CAPE CORAL,,10105,,,,,Sold,,,https://www.redfin.com/FL/Cape-Coral/2616-NW-3rd-Pl-33993/home/67876900,FORTMLS,223073837,N,Y,26.702113,-81.981465
PAST SALE,August-31-2023,Single Family Residential,3050 NW 6th Ave,Cape Coral,FL,33993,355000,4,2.0,"CC41 - Cape Coral Unit 37-43,48,49",1941,10018,2023,,183,,Sold,,,https://www.redfin.com/FL/Cape-Coral/3050-NW-6th-Ave-33993/home/67632742,NAPLESMLS,222072254,N,Y,26.7103295,-81.984191
PAST SALE,November-3-2023,Vacant Land,510 Wilmington Pkwy,Cape Coral,FL,33993,41900,,,CAPE CORAL,,14984,,,,,Sold,,,https://www.redfin.com/FL/Cape-Coral/510-Wilmington-Pkwy-33993/home/62041814,FORTMLS,222075531,N,Y,26.712218,-81.983484
PAST SALE,October-26-2023,Vacant Land,1900 Nelson Rd N,Cape Coral,FL,33993,52000,,,CAPE CORAL,,14374,,,,,Sold,,,https://www.redfin.com/FL/Cape-Coral/1900-Nelson-Rd-N-33993/home/187662645,FORTMLS,223070043,N,Y,26.6892815,-81.990324
