Table 1,,,
Geographic Area,"Population, 2020","Population, 2021","Population, 2022"
"Whitman County, Washington","47,804","43,238","47,619"
"Kaufman County, Texas","147,126","158,216","172,366"
"San Juan County, Colorado",710,740,803
"Lyon County, Kentucky","8,678","8,436","9,101"
"Sumter County, Florida","130,298","134,867","144,970"
"Long County, Georgia","16,269","17,089","18,348"
"Broadwater County, Montana","6,857","7,323","7,793"
"Gulf County, Florida","14,264","14,452","15,314"
"Billings County, North Dakota",933,961,"1,018"
"Dawson County, Georgia","27,056","28,475","30,138"
"Musselshell County, Montana","4,745","4,912","5,197"
"Lumpkin County, Georgia","33,631","32,890","34,796"
"Rockwall County, Texas","109,136","116,549","123,208"
"Brunswick County, North Carolina","138,157","144,814","153,064"
"Parker County, Texas","149,547","156,966","165,834"
"Boundary County, Idaho","12,137","12,635","13,345"
"Comal County, Texas","163,640","174,891","184,642"
"Custer County, Colorado","4,719","5,064","5,335"
"Chambers County, Texas","47,025","48,721","51,288"
"Jasper County, South Carolina","29,143","30,456","32,039"
"Hays County, Texas","243,967","256,065","269,225"
"Flagler County, Florida","116,030","120,904","126,705"
"Liberty County, Texas","92,465","97,382","101,992"
"Kenedy County, Texas",351,342,358
"Ingham County, Michigan","284,640","271,427","284,108"
"Horry County, South Carolina","353,745","366,011","383,101"
"Hunt County, Texas","100,257","103,458","108,282"
"St Johns County, Florida","277,085","293,175","306,841"
"Lincoln County, Montana","19,739","20,571","21,525"
"Osceola County, Florida","391,118","404,020","422,545"
"Jasper County, Georgia","14,666","15,259","15,951"
"Kendall County, Texas","44,547","46,851","48,973"
"Jackson County, Georgia","76,717","80,317","83,936"
"Ellis County, Texas","194,295","203,107","212,182"
"Blanco County, Texas","11,450","11,890","12,418"
"Canadian County, Oklahoma","155,425","161,981","169,149"
"Lincoln County, South Dakota","65,650","67,995","70,987"
"Granite County, Montana","3,308","3,355","3,502"
"Currituck County, North Carolina","28,401","29,714","31,015"
"Hudspeth County, Texas","3,203","3,289","3,432"
"Montgomery County, Texas","625,243","650,261","678,490"
"Benewah County, Idaho","9,576","9,941","10,370"
"Wilson County, Tennessee","148,645","152,010","158,555"
"Johnson County, Texas","180,945","187,442","195,506"
"Custer County, South Dakota","8,334","8,635","9,006"
"Polk County, Florida","730,111","755,179","787,404"
"Banks County, Georgia","18,082","18,538","19,328"
"Yolo County, California","216,291","213,039","222,115"
"Trousdale County, Tennessee","11,638","11,619","12,111"
"Pender County, North Carolina","60,642","63,072","65,737"
"New Kent County, Virginia","23,119","23,979","24,986"
"Pulaski County, Georgia","9,873","9,582","9,984"
"Lamar County, Georgia","18,551","18,684","19,467"
"St Lucie County, Florida","331,428","344,283","358,704"
"Williamson County, Texas","615,517","644,451","671,418"
"Wise County, Texas","68,943","71,888","74,895"
"Tooele County, Utah","73,338","76,734","79,934"
"McClain County, Oklahoma","41,911","43,497","45,306"
"Walton County, Florida","75,937","79,988","83,304"
"Lawrence County, South Dakota","25,838","26,138","27,214"
"Pasco County, Florida","566,126","584,927","608,794"
"Waller County, Texas","57,304","59,474","61,894"
"Liberty County, Florida","7,805","7,308","7,603"
"Lancaster County, South Carolina","96,576","100,522","104,577"
"Lee County, Florida","765,504","790,676","822,453"
"Adams County, Idaho","4,425","4,632","4,817"
"Collin County, Texas","1,075,654","1,114,450","1,158,696"
"Charlotte County, Florida","188,013","194,934","202,661"
"Bastrop County, Texas","98,046","102,166","106,188"
"Jefferson County, Florida","14,390","14,476","15,042"
"Mineral County, Montana","4,565","4,868","5,058"
"Franklin County, North Carolina","69,115","71,798","74,539"
"Dallas County, Iowa","100,473","104,069","108,016"
"Daggett County, Utah",952,977,"1,014"
"Manatee County, Florida","401,593","413,474","429,125"
"Gilchrist County, Florida","17,883","18,306","18,992"
"Nassau County, Florida","91,027","94,393","97,899"
"Jefferson County, Idaho","31,077","32,253","33,428"
"Bonner County, Idaho","47,402","49,617","51,414"
"Sanders County, Montana","12,463","12,975","13,442"
"Madison County, Montana","8,660","8,944","9,265"
"Lincoln County, North Carolina","87,206","89,870","93,095"
"Dolores County, Colorado","2,332","2,370","2,455"
"Pinal County, Arizona","429,446","448,144","464,154"
"Denton County, Texas","914,324","943,857","977,281"
"Lake County, Florida","386,194","396,242","410,139"
"Franklin County, Idaho","14,284","14,676","15,189"
"Berkeley County, South Carolina","231,538","236,871","245,117"
"Effingham County, Georgia","65,158","66,746","69,041"
"Fort Bend County, Texas","829,036","860,124","889,146"
"Sussex County, Delaware","238,879","247,722","255,956"
"Johnston County, North Carolina","217,787","227,313","234,778"
"Hood County, Texas","62,054","64,263","66,373"
"Limestone County, Alabama","104,190","107,381","110,900"
"Walton County, Georgia","97,153","99,808","103,065"
"Madison County, Arkansas","16,546","16,936","17,486"
"Washington County, Utah","182,009","191,476","197,680"
"Union County, Georgia","24,798","25,560","26,388"
"Montgomery County, Tennessee","221,265","227,841","235,201"
"Morgan County, Kentucky","13,729","13,682","14,120"
"Idaho County, Idaho","16,588","17,053","17,593"
"Iron County, Utah","57,708","60,522","62,429"
"Bay County, Florida","174,506","179,498","185,134"
"Hernando County, Florida","195,627","200,649","206,896"
"Spartanburg County, South Carolina","329,365","335,406","345,831"
"Guadalupe County, Texas","173,686","177,254","182,760"
"Montague County, Texas","19,994","20,430","21,063"
"Juab County, Utah","11,818","12,192","12,567"
"Sarasota County, Florida","436,207","448,550","462,286"
"Frontier County, Nebraska","2,504","2,555","2,633"
"Weld County, Colorado","331,427","339,811","350,176"
"Wayne County, Utah","2,508","2,567","2,645"
"Barrow County, Georgia","83,975","86,672","89,299"
"Box Elder County, Utah","57,946","59,693","61,498"
"Burleson County, Texas","17,680","18,110","18,657"
"Somervell County, Texas","9,204","9,472","9,757"
"Maury County, Tennessee","101,824","105,003","108,159"
"Rains County, Texas","12,178","12,449","12,823"
"Bulloch County, Georgia","79,918","80,637","83,059"
"Greene County, Georgia","19,021","19,553","20,139"
"Suwannee County, Florida","43,517","44,092","45,411"
"Canyon County, Idaho","232,998","243,774","251,065"
"Baldwin County, Alabama","233,219","239,361","246,435"
"Gem County, Idaho","19,274","19,832","20,418"
"Marion County, Florida","377,459","385,084","396,415"
"Keweenaw County, Michigan","2,068","2,118","2,180"
"Carbon County, Montana","10,510","10,862","11,179"
"Wagoner County, Oklahoma","81,379","84,198","86,644"
"Benton County, Arkansas","286,586","294,337","302,863"
"Lincoln County, Washington","10,927","11,277","11,601"
"Montmorency County, Michigan","9,164","9,302","9,569"
"Columbia County, Florida","69,737","69,902","71,908"
"Bristol Bay Borough, Alaska",829,841,865
"Kane County, Utah","7,688","7,999","8,227"
"Flathead County, Montana","104,862","108,725","111,814"
"Jefferson County, Montana","12,140","12,472","12,826"
"Wilson County, Texas","50,051","51,281","52,735"
"DeSoto County, Florida","34,087","34,340","35,312"
"Sequatchie County, Tennessee","15,850","16,445","16,909"
"Hendry County, Florida","39,725","40,212","41,339"
"Citrus County, Florida","154,565","158,113","162,529"
"Throckmorton County, Texas","1,453","1,508","1,550"
"Burnet County, Texas","49,473","51,080","52,502"
"Louisa County, Virginia","37,798","39,032","40,116"
"Polk County, Texas","50,494","51,816","53,255"
"Collier County, Florida","377,293","387,241","397,994"
"Wright County, Missouri","18,211","18,640","19,156"
"Union County, Ohio","63,089","65,110","66,898"
"Nye County, Nevada","51,960","53,277","54,738"
"Fremont County, Idaho","13,414","13,606","13,978"
"Lake County, Michigan","12,094","12,261","12,594"
"Van Zandt County, Texas","59,749","61,200","62,859"
"Catron County, New Mexico","3,611","3,726","3,827"
"Meagher County, Montana","1,922","1,960","2,013"
"Oneida County, Idaho","4,562","4,588","4,712"
"Bryan County, Georgia","45,035","46,963","48,225"
"Rutherford County, Tennessee","343,266","351,202","360,619"
"Medina County, Texas","50,939","52,322","53,723"
"Highland County, Virginia","2,241","2,241","2,301"
"Loudon County, Tennessee","55,127","56,672","58,181"
"Franklin County, Georgia","23,468","23,503","24,128"
"Franklin County, Florida","12,463","12,175","12,498"
"Wakulla County, Florida","33,895","34,274","35,178"
"Fentress County, Tennessee","18,533","18,837","19,332"
"Bandera County, Texas","20,992","21,551","22,115"
"Berkeley County, West Virginia","122,691","126,194","129,490"
"Boise County, Idaho","7,662","8,121","8,333"
"Chaffee County, Colorado","19,477","19,711","20,223"
"Paulding County, Georgia","169,570","173,921","178,421"
"Shoshone County, Idaho","13,195","13,659","14,012"
"Judith Basin County, Montana","2,025","2,052","2,105"
"Lampasas County, Texas","21,707","22,213","22,785"
"Dunn County, Wisconsin","45,441","44,509","45,651"
"Taliaferro County, Georgia","1,562","1,560","1,600"
"DeKalb County, Tennessee","20,187","20,478","21,003"
"Garfield County, Utah","5,107","5,149","5,281"
"Grayson County, Texas","136,100","139,561","143,131"
"Hall County, Georgia","203,735","207,393","212,692"
"Ravalli County, Montana","44,409","46,125","47,298"
"Sterling County, Texas","1,381","1,382","1,417"
"Fall River County, South Dakota","6,972","7,189","7,370"
"Camden County, North Carolina","10,407","10,816","11,088"
"Greenville County, South Carolina","527,207","534,521","547,950"
"Uintah County, Utah","35,671","36,232","37,141"
"Moore County, North Carolina","100,267","102,952","105,531"
"Perry County, Tennessee","8,379","8,473","8,685"
"Forsyth County, Georgia","252,878","260,721","267,237"
"Levy County, Florida","43,059","44,158","45,260"
"Ferry County, Washington","7,196","7,267","7,448"
"Bear Lake County, Idaho","6,367","6,559","6,722"
"Haralson County, Georgia","30,037","30,579","31,337"
"Hill County, Texas","35,962","36,430","37,329"
"Carroll County, Georgia","119,484","121,592","124,592"
"Kershaw County, South Carolina","65,581","66,121","67,751"
"Edgefield County, South Carolina","25,672","26,285","26,932"
"Brazoria County, Texas","373,481","378,858","388,181"
"Pickens County, Georgia","33,339","33,990","34,826"
"Elbert County, Colorado","26,207","27,133","27,799"
"Lincoln County, Missouri","59,849","61,654","63,155"
"Monroe County, Georgia","28,055","28,729","29,427"
"Lincoln County, Wyoming","19,657","20,170","20,660"
"Lake County, Montana","31,246","32,075","32,853"
"Utah County, Utah","663,559","685,806","702,434"
"Deuel County, Nebraska","1,831","1,857","1,902"
"Van Buren County, Tennessee","6,174","6,277","6,429"
"Crook County, Oregon","24,923","25,753","26,375"
"Marshall County, Tennessee","34,466","35,032","35,878"
"Llano County, Texas","21,285","22,013","22,540"
"Goochland County, Virginia","24,853","25,499","26,109"
"Taylor County, Florida","21,739","20,786","21,283"
"Wahkiakum County, Washington","4,443","4,579","4,688"
"Frederick County, Maryland","272,765","280,410","287,079"
"Clarke County, Virginia","14,813","14,916","15,266"
"Cherokee County, Georgia","268,175","274,839","281,278"
"Jack County, Texas","8,486","8,718","8,922"
"Pike County, Georgia","18,936","19,534","19,990"
"Volusia County, Florida","555,764","565,988","579,192"
"Harnett County, North Carolina","133,779","135,669","138,832"
"Pennington County, South Dakota","109,563","111,854","114,461"
"Clay County, North Carolina","11,142","11,350","11,614"
"Butte County, South Dakota","10,286","10,530","10,774"
"Santa Rosa County, Florida","188,989","193,783","198,268"
"Huerfano County, Colorado","6,827","6,922","7,082"
"Delaware County, Ohio","215,139","221,186","226,296"
"Johnson County, Georgia","9,186","9,034","9,242"
"Monroe County, Tennessee","46,395","46,668","47,740"
"Suffolk city, Virginia","94,697","96,328","98,537"
"Jerome County, Idaho","24,268","24,745","25,311"
"Union County, Tennessee","19,841","19,996","20,452"
"Beaufort County, South Carolina","187,819","192,007","196,371"
"Camden County, Georgia","54,925","55,754","57,013"
"Midland County, Texas","170,348","168,206","171,999"
"Sherman County, Oregon","1,873","1,912","1,955"
"Highlands County, Florida","101,345","103,295","105,618"
"Chatham County, North Carolina","76,670","78,111","79,864"
"Jackson County, Florida","47,079","47,154","48,211"
"Brookings County, South Dakota","34,350","34,710","35,484"
"Van Buren County, Arkansas","15,801","15,751","16,102"
"Pierce County, Wisconsin","42,223","41,606","42,532"
"Florence County, Wisconsin","4,560","4,586","4,688"
"Austin County, Texas","30,131","30,421","31,097"
"Briscoe County, Texas","1,419","1,400","1,431"
"Payette County, Idaho","25,583","26,377","26,956"
"New Hanover County, North Carolina","226,307","229,930","234,921"
"Marshall County, Oklahoma","15,340","15,546","15,882"
"Hart County, Georgia","25,871","26,340","26,909"
"Indian River County, Florida","160,439","163,814","167,352"
"Oglethorpe County, Georgia","14,867","15,142","15,469"
"Washington County, Florida","25,313","24,877","25,414"
"Orange County, Virginia","36,391","37,189","37,991"
"Grimes County, Texas","29,430","30,106","30,754"
"Lee County, North Carolina","63,428","64,097","65,476"
"Wayne County, Georgia","30,145","30,246","30,896"
"Allen County, Kentucky","20,573","20,828","21,275"
"Owyhee County, Idaho","11,994","12,348","12,613"
"Bell County, Texas","372,229","380,241","388,386"
"Appomattox County, Virginia","16,154","16,398","16,748"
"Pickaway County, Ohio","58,646","58,770","60,023"
"Macon County, Tennessee","25,263","25,682","26,229"
"Camas County, Idaho","1,083","1,129","1,153"
"Northumberland County, Virginia","11,838","12,046","12,302"
"Hamilton County, Indiana","348,966","357,330","364,921"
"Bryan County, Oklahoma","46,327","47,187","48,182"
"Rogers County, Oklahoma","95,387","96,796","98,836"
"Jefferson County, Tennessee","54,908","55,562","56,727"
"Brevard County, Florida","608,713","617,742","630,693"
"Bingham County, Idaho","48,106","48,898","49,923"
"Golden Valley County, Montana",821,818,835
"Cass County, Minnesota","30,142","30,638","31,274"
"Adams County, Wisconsin","20,675","20,795","21,226"
"Skamania County, Washington","12,033","12,207","12,460"
"Butts County, Georgia","25,551","26,114","26,649"
"Matanuska-Susitna Borough, Alaska","107,515","111,059","113,325"
"Ohio County, Indiana","5,922","5,992","6,114"
"Teton County, Idaho","11,735","12,294","12,544"
"Smith County, Texas","234,195","237,114","241,922"
"Minnehaha County, South Dakota","197,686","199,925","203,971"
"Caldwell County, Texas","45,949","46,904","47,848"
"Sanpete County, Utah","28,521","29,138","29,724"
"Turner County, South Dakota","8,672","8,682","8,856"
"Warren County, Missouri","35,740","36,529","37,260"
"Newton County, Georgia","112,843","115,318","117,621"
"Cache County, Utah","133,624","137,429","140,173"
"Washington County, Tennessee","133,213","133,525","136,172"
"Logan County, Oklahoma","49,743","50,924","51,933"
"Coweta County, Georgia","146,725","149,925","152,882"
"Wright County, Minnesota","141,860","145,143","148,003"
"Union County, North Carolina","239,443","244,260","249,070"
"Greeley County, Nebraska","2,175","2,184","2,227"
"Sheridan County, North Dakota","1,267","1,270","1,295"
"Wake County, North Carolina","1,130,685","1,152,357","1,175,021"
"Warren County, Kentucky","135,013","137,148","139,843"
"Liberty County, Montana","1,956","1,934","1,972"
"Palo Pinto County, Texas","28,445","28,676","29,239"
"Pend Oreille County, Washington","13,506","13,906","14,179"
"Beaverhead County, Montana","9,381","9,532","9,719"
"Atascosa County, Texas","49,134","49,886","50,864"
"Merced County, California","281,814","284,458","290,014"
"Hillsborough County, Florida","1,466,160","1,484,455","1,513,301"
"Glasscock County, Texas","1,117","1,142","1,164"
"Isle of Wight County, Virginia","38,702","39,393","40,151"
"Chesterfield County, Virginia","365,776","371,276","378,408"
"Madison County, Georgia","30,269","30,883","31,473"
"Iredell County, North Carolina","187,683","192,227","195,897"
"Webster County, Missouri","39,002","39,580","40,335"
"Kootenai County, Idaho","172,790","180,146","183,578"
"Navarro County, Texas","52,828","53,616","54,636"
"Roane County, Tennessee","53,510","54,056","55,082"
"Spotsylvania County, Virginia","140,594","143,957","146,688"
"Ozark County, Missouri","8,520","8,774","8,940"
