County Name,State,% change (2020 - 2021),% change (2021- 2022),distance from nearest metropolitan area,metropolitan area name,metropolitan area population,parcels of land sold in past 1 year,parcels of land sold in past 2 years
Kaufman County,Texas,7.54,8.94
Sumter County,Florida,3.51,7.49
Dawson County,Georgia,5.24,5.84
Brunswick County,North Carolina,4.82,5.7
Parker County,Texas,4.96,5.65
Chambers County,Texas,3.61,5.27
Jasper County,South Carolina,4.51,5.2
Hays County,Texas,4.96,5.14
Flagler County,Florida,4.2,4.8
Horry County,South Carolina,3.47,4.67
Hunt County,Texas,3.19,4.66
Osceola County,Florida,3.3,4.59
Canadian County,Oklahoma,4.22,4.43
Lincoln County,South Dakota,3.57,4.4
Montgomery County,Texas,4.0,4.34
Wilson County,Tennessee,2.26,4.31
Johnson County,Texas,3.59,4.3
Polk County,Florida,3.43,4.27
Pender County,North Carolina,4.01,4.23
St Lucie County,Florida,3.88,4.19
McClain County,Oklahoma,3.78,4.16
Pasco County,Florida,3.32,4.08
Waller County,Texas,3.79,4.07
Lee County,Florida,3.29,4.02
Collin County,Texas,3.61,3.97
Charlotte County,Florida,3.68,3.96
Dallas County,Iowa,3.58,3.79
Manatee County,Florida,2.96,3.79
Nassau County,Florida,3.7,3.71
Lincoln County,North Carolina,3.05,3.59
Denton County,Texas,3.23,3.54
Lake County,Florida,2.6,3.51
Berkeley County,South Carolina,2.3,3.48
Effingham County,Georgia,2.44,3.44
Limestone County,Alabama,3.06,3.28
Walton County,Georgia,2.73,3.26
Montgomery County,Tennessee,2.97,3.23
Bay County,Florida,2.86,3.14
Hernando County,Florida,2.57,3.11
Spartanburg County,South Carolina,1.83,3.11
Guadalupe County,Texas,2.05,3.11
Sarasota County,Florida,2.83,3.06
Weld County,Colorado,2.53,3.05
Box Elder County,Utah,3.01,3.02
Bulloch County,Georgia,0.9,3.0
Suwannee County,Florida,1.32,2.99
Baldwin County,Alabama,2.63,2.96
Marion County,Florida,2.02,2.94
Benton County,Arkansas,2.7,2.9
Columbia County,Florida,0.24,2.87
Wilson County,Texas,2.46,2.84
DeSoto County,Florida,0.74,2.83
Hendry County,Florida,1.23,2.8
Citrus County,Florida,2.3,2.79
Polk County,Texas,2.62,2.78
Collier County,Florida,2.64,2.78
Nye County,Nevada,2.53,2.74
Van Zandt County,Texas,2.43,2.71
Rutherford County,Tennessee,2.31,2.68
Wakulla County,Florida,1.12,2.64
Paulding County,Georgia,2.57,2.59
Grayson County,Texas,2.54,2.56
Hall County,Georgia,1.8,2.56
Greenville County,South Carolina,1.39,2.51
Uintah County,Utah,1.57,2.51
Haralson County,Georgia,1.8,2.48
Hill County,Texas,1.3,2.47
Carroll County,Georgia,1.76,2.47
Kershaw County,South Carolina,0.82,2.47
Brazoria County,Texas,1.44,2.46
Pickens County,Georgia,1.95,2.46
Marshall County,Tennessee,1.64,2.41
Volusia County,Florida,1.84,2.33
Harnett County,North Carolina,1.41,2.33
Pennington County,South Dakota,2.09,2.33
Monroe County,Tennessee,0.59,2.3
Suffolk city,Virginia,1.72,2.29
Beaufort County,South Carolina,2.23,2.27
Camden County,Georgia,1.51,2.26
Highlands County,Florida,1.92,2.25
Chatham County,North Carolina,1.88,2.24
Jackson County,Florida,0.16,2.24
Brookings County,South Dakota,1.05,2.23
Austin County,Texas,0.96,2.22
New Hanover County,North Carolina,1.6,2.17
Indian River County,Florida,2.1,2.16
Lee County,North Carolina,1.05,2.15
Wayne County,Georgia,0.34,2.15
Pickaway County,Ohio,0.21,2.13
Bryan County,Oklahoma,1.86,2.11
Rogers County,Oklahoma,1.48,2.11
Jefferson County,Tennessee,1.19,2.1
Brevard County,Florida,1.48,2.1
Bingham County,Idaho,1.65,2.1
